#,term,status,topic,subtopic,n_words,n_patents,tfidf,score,variants,patents
373,ionic liquid,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,2,21.587,57.6,ionic liquid,US20160141719A1-20160519 US20160149249A1-20160526
374,conducting salt,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,2,8.635,24.7,conducting salt,US20160164144A1-20160609 US20160164141A1-20160609
375,liquid electrolyte,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,2,12.952,19.5,liquid electrolyte,US20160164120A1-20160609 US20160211528A1-20160721
376,non-aqueous electrolytic solution,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,35.074,74.7,non-aqueous electrolytic solution | non-aqueous electrolytic solutions,US20160164140A1-20160609
377,non-aqueous electrolytic solution kit,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",4,1,10.021,35.3,non-aqueous electrolytic solution kit,US20160164140A1-20160609
378,acetic acid ester,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,10.021,35.0,acetic acid esters,US20160164144A1-20160609
379,butyric acid ester,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,10.021,35.0,butyric acid esters,US20160164144A1-20160609
380,base non-aqueous electrolytic solution,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",4,1,10.021,33.4,base non-aqueous electrolytic solution,US20160164140A1-20160609
381,cyclic carbonate,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,27.2,cyclic carbonate,US20160164140A1-20160609
382,chain ester,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,26.7,chain ester,US20160164140A1-20160609
383,electrolyte fluid,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,20.3,electrolyte fluid,US20100183906A1-20100722
384,cyclic sulfate ester compound,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",4,1,5.011,20.0,cyclic sulfate ester compound,US20160233546A1-20160811
385,molten salt,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,15.032,19.8,molten salt,US20160156069A1-20160602
386,electrolyte composition,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,10.021,19.8,electrolyte composition,US20160164141A1-20160609
387,aprotic organic solvent,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,5.011,17.3,aprotic organic solvent,US20160164141A1-20160609
388,non-impregnation electrolytic solution,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,5.011,16.3,non-impregnation electrolytic solution,US20160172657A1-20160616
389,alkali metal salt,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,5.011,15.1,alkali metal salt,US20160141719A1-20160519
390,non-aqueous organic solvent,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,5.011,15.0,non-aqueous organic solvent,US20160233546A1-20160811
391,molten salt electrolyte,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",3,1,5.011,14.9,molten salt electrolyte,US20160156069A1-20160602
392,eletrolytic solvent,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,5.011,14.3,eletrolytic solvents,US20160164144A1-20160609
393,organic carbonate,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,5.011,12.7,organic carbonates,US20160164144A1-20160609
394,non-aqueous solvent,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,5.011,11.6,non-aqueous solvent,US20160164140A1-20160609
395,lithium salt,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,5.011,10.8,lithium salt,US20160233546A1-20160811
396,electrolyte salt,technical,Electrolytes & separators,"Liquid electrolytes, solvents & salts",2,1,5.011,10.6,electrolyte salt,US20160164140A1-20160609
397,solid electrolyte,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,4,50.741,104.2,solid electrolyte,US20160248093A1-20160825 US20160190637A1-20160630 US20160190602A1-20160630 US20160204427A1-20160714
398,electrolyte layer,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,3,23.472,17.3,electrolyte layer,US20070009802A1-20070111 US20160248093A1-20160825 US20160204427A1-20160714
399,sulfide solid electrolyte,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,2,21.587,53.6,sulfide solid electrolyte,US20160248093A1-20160825 US20160190637A1-20160630
400,solid electrolyte layer,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,2,17.27,45.9,solid electrolyte layer,US20160248093A1-20160825 US20160204427A1-20160714
401,electrolyte membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,2,12.952,18.7,electrolyte membrane,US20060093875A1-20060504 US20160156053A1-20160602
402,polyelectrolyte membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,2,12.952,17.6,polyelectrolyte membrane | polyelectrolyte membranes,US20060014067A1-20060119 US20060093875A1-20060504
403,solid electrolyte material,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,2,8.635,11.2,solid electrolyte material,US20160248093A1-20160825 US20160204427A1-20160714
404,membrane film,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,30.064,53.1,membrane films | membrane film,US20060093875A1-20060504
405,multi-layer polyelectrolyte membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,10.021,32.3,multi-layer polyelectrolyte membrane | multi-layer polyelectrolyte membranes,US20060014067A1-20060119
406,yttria-stabilized zirconia material,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,10.021,31.1,yttria-stabilized zirconia material,US20160149249A1-20160526
407,composite electrolyte,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,15.032,29.1,composite electrolyte,US20160204427A1-20160714
408,ion-conductive polymer,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,10.021,27.2,ion-conductive polymer | ion conductive polymer,US20060014066A1-20060119
409,membrane electrolyte,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,10.021,18.7,membrane electrolyte,US20060134469A1-20060622
410,unsupported tubular membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,17.1,unsupported tubular membranes,US20160301084A1-20161013
411,proton exchange membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,16.8,proton exchange membrane,US20160211535A1-20160721
412,ion-conducting ionomer layer,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,16.0,ion-conducting ionomer layer,US20160118671A1-20160428
413,extruded membrane sheet,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,15.9,extruded membrane sheet,US20060093875A1-20060504
414,extruded membrane film,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,15.2,extruded membrane films,US20060093875A1-20060504
415,polyelectrolyte membrane film,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,14.7,polyelectrolyte membrane films,US20060093875A1-20060504
416,sulfide solid electrolyte material,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",4,1,5.011,14.5,sulfide solid electrolyte material,US20160248093A1-20160825
417,ionic conductive material,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,12.8,ionic conductive materials,US20170005341A1-20170105
418,ionomer solution,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,5.011,12.6,ionomer solution,US20060093875A1-20060504
419,polymer electrolyte membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",3,1,5.011,12.5,polymer electrolyte membrane,US20060093875A1-20060504
420,extruded membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,10.021,12.3,extruded membrane,US20060093875A1-20060504
421,solid polyelectrolyte,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,5.011,11.9,solid polyelectrolyte,US20060014066A1-20060119
422,membrane sheet,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,10.021,11.4,membrane sheet,US20060093875A1-20060504
423,conducting membrane,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,5.011,11.1,conducting membrane,US20060003203A1-20060105
424,electrolyte film,technical,Electrolytes & separators,"Solid & polymer electrolytes, membranes",2,1,5.011,10.2,electrolyte film,US20070009802A1-20070111
425,non-woven fiber mat,technical,Electrolytes & separators,Separators,3,1,5.011,17.8,non-woven fiber mat,US20170200955A1-20170713
426,non-woven mat,technical,Electrolytes & separators,Separators,2,1,5.011,14.6,non-woven mat,US20170200955A1-20170713
427,porous ceramic separator,technical,Electrolytes & separators,Separators,3,1,5.011,14.1,porous ceramic separator,US20060105244A1-20060518
428,ceramic separator,technical,Electrolytes & separators,Separators,2,1,10.021,11.3,ceramic separator,US20060105244A1-20060518
429,separator assembly,technical,Electrolytes & separators,Separators,2,1,5.011,10.0,separator assembly,US20060046125A1-20060302
430,transition metal,technical,Chemistry & materials,"Compounds, oxides & alloys",2,5,47.617,134.8,transition metal | transition metals,US20060014066A1-20060119 US20160156069A1-20160602 US20160344021A1-20161124 US20160164087A1-20160609 US20160190579A1-20160630
431,composite oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,5,44.216,90.4,composite oxide,US20160226067A1-20160804 US20160172674A1-20160616 US20160190579A1-20160630 US20160164091A1-20160609 US20160164093A1-20160609
432,metal oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,4,43.492,86.0,metal oxide,US20160156069A1-20160602 US20160164087A1-20160609 US20160164075A1-20160609 US20160118674A1-20160428
433,alkali metal,technical,Chemistry & materials,"Compounds, oxides & alloys",2,3,11.736,23.7,alkali metal,US20060014066A1-20060119 US20100190059A1-20100729 US20160141719A1-20160519
434,complex oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,2,25.905,33.0,complex oxide | complex oxides,US20160181609A1-20160623 US20160126539A1-20160505
435,rare-earth element,technical,Chemistry & materials,"Compounds, oxides & alloys",2,2,8.635,26.9,rare-earth element | rare earth elements,US20060014066A1-20060119 US20160164091A1-20160609
436,carbon monoxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,2,12.952,24.2,carbon monoxide,US20060035119A1-20060216 US20160181639A1-20160623
437,lithium compound,technical,Chemistry & materials,"Compounds, oxides & alloys",2,2,8.635,20.9,lithium compound,US20160172674A1-20160616 US20160172673A1-20160616
438,alkaline earth metal,technical,Chemistry & materials,"Compounds, oxides & alloys",3,2,25.905,14.3,alkaline earth metal,US20060014066A1-20060119 US20160118674A1-20160428
439,silicon oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,2,17.27,10.2,silicon oxide,US20160190560A1-20160630 US20160149214A1-20160526
440,alkaline earth metal oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",4,1,25.053,80.0,alkaline earth metal oxide,US20160118674A1-20160428
441,binderless zeolite molecular sieve,technical,Chemistry & materials,"Compounds, oxides & alloys",4,1,10.021,43.6,binderless zeolite molecular sieves | binderless zeolite molecular sieve,US20160164144A1-20160609
442,dissolved iron hexacyanide complex,technical,Chemistry & materials,"Compounds, oxides & alloys",4,1,10.021,38.2,dissolved iron hexacyanide complex,US20160211539A1-20160721
443,carbon dioxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,15.032,36.3,carbon dioxide,US20160181639A1-20160623
444,iron hexacyanide complex,technical,Chemistry & materials,"Compounds, oxides & alloys",3,1,20.043,32.5,iron hexacyanide complex,US20160211539A1-20160721
445,iron hexacyanide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,25.053,26.3,iron hexacyanide,US20160211539A1-20160721
446,period ii transition metal,technical,Chemistry & materials,"Compounds, oxides & alloys",4,1,5.011,18.4,period ii transition metals,US20160164087A1-20160609
447,transition metal-containing salt,technical,Chemistry & materials,"Compounds, oxides & alloys",3,1,5.011,16.7,transition metal-containing salt,US20160164087A1-20160609
448,brazing alloy,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,14.2,brazing alloy,US20060121327A1-20060608
449,naphthalene compound,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,13.7,naphthalene compound,US20160233546A1-20160811
450,halogen element,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,13.5,halogen element,US20160141719A1-20160519
451,silver alloy,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,13.4,silver alloy,US20060046144A1-20060302
452,hydrogen peroxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,10.021,12.9,hydrogen peroxide,US20160118671A1-20160428
453,boron oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,12.8,boron oxide,US20160118674A1-20160428
454,inorganic salt,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,12.8,inorganic salt,US20160149249A1-20160526
455,phosphorus oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,12.8,phosphorus oxide,US20160118674A1-20160428
456,aluminum oxide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,12.3,aluminum oxide,US20160118674A1-20160428
457,metal carbonate,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,11.2,metal carbonate,US20160181639A1-20160623
458,metal sulfide,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,11.2,metal sulfide,US20160164075A1-20160609
459,silicon compound,technical,Chemistry & materials,"Compounds, oxides & alloys",2,1,5.011,11.2,silicon compound,US20160240843A1-20160818
460,carbon fiber,technical,Chemistry & materials,Carbon & nanomaterials,2,2,21.587,46.1,carbon fiber | carbon fibers,US20060002844A1-20060105 US20170200955A1-20170713
461,carbon nanofiber,technical,Chemistry & materials,Carbon & nanomaterials,2,2,17.27,35.6,carbon nanofibers | carbon nanofiber,US20170200955A1-20170713 US20170194636A1-20170706
462,carbon nanotube,technical,Chemistry & materials,Carbon & nanomaterials,2,1,35.074,79.9,carbon nanotubes,US20160301084A1-20161013
463,nanostructured surface,technical,Chemistry & materials,Carbon & nanomaterials,2,1,20.043,45.4,nanostructured surface,US20100183906A1-20100722
464,carbon nanostructure,technical,Chemistry & materials,Carbon & nanomaterials,2,1,15.032,36.3,carbon nanostructures | carbon nanostructure,US20060051674A1-20060309
465,porous carbon material,technical,Chemistry & materials,Carbon & nanomaterials,3,1,10.021,24.0,porous carbon material,US20160164104A1-20160609
466,activated carbon black,technical,Chemistry & materials,Carbon & nanomaterials,3,1,5.011,16.7,activated carbon black,US20170194636A1-20170706
467,carbon fiber composition,technical,Chemistry & materials,Carbon & nanomaterials,3,1,5.011,14.3,carbon fiber composition,US20060002844A1-20060105
468,carbon fiber substrate,technical,Chemistry & materials,Carbon & nanomaterials,3,1,5.011,14.2,carbon fiber substrate,US20170200955A1-20170713
469,carbonaceous film,technical,Chemistry & materials,Carbon & nanomaterials,2,1,5.011,13.2,carbonaceous film,US20170092937A1-20170330
470,carbonaceous material,technical,Chemistry & materials,Carbon & nanomaterials,2,1,5.011,11.3,carbonaceous material,US20160126546A1-20160505
471,nanostructured material,technical,Chemistry & materials,Carbon & nanomaterials,2,1,5.011,10.5,nanostructured materials,US20100190059A1-20100729
472,crystal structure,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,2,8.635,11.7,crystal structure,US20160181609A1-20160623 US20160226067A1-20160804
473,glass core,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,1,10.021,26.1,glass cores,US20160118674A1-20160428
474,mineral composition,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,1,10.021,25.7,mineral composition,US20060121327A1-20060608
475,glassy phase grain boundary,technical,Chemistry & materials,"Ceramics, glass & crystal structure",4,1,5.011,21.3,glassy phase grain boundaries,US20060121327A1-20060608
476,calcium aluminosilicate crystal,technical,Chemistry & materials,"Ceramics, glass & crystal structure",3,1,5.011,18.8,calcium aluminosilicate crystals,US20160118674A1-20160428
477,single o3 phase,technical,Chemistry & materials,"Ceramics, glass & crystal structure",3,1,5.011,18.6,single o3 phase,US20160181609A1-20160623
478,phase-pure perovskite structure,technical,Chemistry & materials,"Ceramics, glass & crystal structure",3,1,5.011,17.5,phase-pure perovskite structure,US20160204444A1-20160714
479,afi template material,technical,Chemistry & materials,"Ceramics, glass & crystal structure",3,1,5.011,16.7,afi template material,US20060051674A1-20060309
480,orthorhombic crystal structure,technical,Chemistry & materials,"Ceramics, glass & crystal structure",3,1,5.011,16.6,orthorhombic crystal structure,US20160226067A1-20160804
481,ceramic grain boundary,technical,Chemistry & materials,"Ceramics, glass & crystal structure",3,1,5.011,16.6,ceramic grain boundaries,US20060121327A1-20060608
482,barium aluminosilicate,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,1,5.011,15.4,barium aluminosilicate,US20160118674A1-20160428
483,ldh-containing composite material,technical,Chemistry & materials,"Ceramics, glass & crystal structure",3,1,5.011,13.9,ldh-containing composite material,US20160141582A1-20160519
484,grain boundary,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,1,10.021,13.7,grain boundaries,US20060121327A1-20060608
485,olivine structure,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,1,5.011,12.8,olivine structure,US20160126539A1-20160505
486,polyanion structure,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,1,5.011,12.8,polyanion structure,US20160211515A1-20160721
487,glass material,technical,Chemistry & materials,"Ceramics, glass & crystal structure",2,1,5.011,10.8,glass material,US20160149249A1-20160526
488,insulating material,technical,Chemistry & materials,"Polymers, resins & adhesives",2,2,12.952,9.9,insulating material,US20060127752A1-20060615 US20160204427A1-20160714
489,multilayer polymer,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,40.085,59.6,multilayer polymer,US20070231687A1-20071004
490,needle-shaped filler,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,15.032,42.1,needle-shaped filler,US20160204438A1-20160714
491,acrylic resin,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,10.021,26.1,acrylic resin,US20060014067A1-20060119
492,vinyl resin,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,10.021,26.1,vinyl resin,US20060014067A1-20060119
493,electrical insulating material,technical,Chemistry & materials,"Polymers, resins & adhesives",3,1,10.021,26.0,electrical insulating material,US20060127752A1-20060615
494,styrene thermoplastic elastomer,technical,Chemistry & materials,"Polymers, resins & adhesives",3,1,5.011,19.7,styrene thermoplastic elastomer,US20160141625A1-20160519
495,vinyl alcohol copolymer,technical,Chemistry & materials,"Polymers, resins & adhesives",3,1,5.011,18.4,vinyl alcohol copolymer,US20160141625A1-20160519
496,electron conducting adhesive,technical,Chemistry & materials,"Polymers, resins & adhesives",3,1,5.011,17.3,electron conducting adhesive,US20160118671A1-20160428
497,chain extending agent,technical,Chemistry & materials,"Polymers, resins & adhesives",3,1,5.011,17.0,chain extending agent,US20160181616A1-20160623
498,acrylonitrile derivative,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,16.0,acrylonitrile derivatives,US20160164141A1-20160609
499,olefinic polyol,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,16.0,olefinic polyol,US20160181616A1-20160623
500,copolymerizable monomer,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,15.4,copolymerizable monomer,US20160141625A1-20160519
501,thermoplastic substance,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,14.9,thermoplastic substance,US20160233469A1-20160811
502,conductive organic adhesive,technical,Chemistry & materials,"Polymers, resins & adhesives",3,1,5.011,14.8,conductive organic adhesive,US20060105244A1-20060518
503,acrylic monomer,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,14.6,acrylic monomer,US20160141625A1-20160519
504,carbonate diol,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,14.4,carbonate diol,US20160181616A1-20160623
505,ion conductive adhesive,technical,Chemistry & materials,"Polymers, resins & adhesives",3,1,5.011,14.1,ion conductive adhesive,US20060105244A1-20060518
506,synthetic resin,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,13.9,synthetic resin,US20160141625A1-20160519
507,inorganic filler,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,13.6,inorganic filler,US20160211554A1-20160721
508,isotactic structure,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,12.8,isotactic structure,US20060014066A1-20060119
509,stereospecific structure,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,12.8,stereospecific structures,US20060014066A1-20060119
510,base polymer,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,11.8,base polymer,US20170200955A1-20170713
511,structural unit,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,11.7,structural unit,US20160141625A1-20160519
512,resin composition,technical,Chemistry & materials,"Polymers, resins & adhesives",2,1,5.011,11.3,resin composition,US20160149216A1-20160526
513,lithium ion,technical,Chemistry & materials,Ions & functional groups,2,11,52.255,179.4,lithium ion | lithium ions,US20070231687A1-20071004 US20060046144A1-20060302 US20060051674A1-20060309 US20160190560A1-20160630 US20160233546A1-20160811 US20160149214A1-20160526 US20160126546A1-20160505 US20160190637A1-20160630 US20160164141A1-20160609 US20160149216A1-20160526 US20160172635A1-20160616
514,alicyclic quaternary ammonium cation,technical,Chemistry & materials,Ions & functional groups,4,1,35.074,128.8,alicyclic quaternary ammonium cation,US20160141719A1-20160519
515,alicyclic skeleton,technical,Chemistry & materials,Ions & functional groups,2,1,15.032,39.9,alicyclic skeleton,US20160141719A1-20160519
516,active hydrogen group,technical,Chemistry & materials,Ions & functional groups,3,1,15.032,37.8,active hydrogen groups,US20160181616A1-20160623
517,carbon atom,technical,Chemistry & materials,Ions & functional groups,2,1,10.021,22.3,carbon atoms,US20060014066A1-20060119
518,counter anion,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,14.9,counter anion,US20160141719A1-20160519
519,n-valent anion,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,14.9,n-valent anion,US20160141582A1-20160519
520,divalent cation,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,14.2,divalent cation,US20160141582A1-20160519
521,trivalent cation,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,14.2,trivalent cation,US20160141582A1-20160519
522,hetero atom,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,14.2,hetero atoms,US20060014066A1-20060119
523,nitrogen atom,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,13.3,nitrogen atom,US20160141719A1-20160519
524,amino group,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,13.2,amino group,US20160233546A1-20160811
525,ionizable group,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,13.2,ionizable group,US20060014067A1-20060119
526,sulfo group,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,13.2,sulfo groups,US20160190602A1-20160630
527,organic substituent,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,13.1,organic substituents,US20160164141A1-20160609
528,hydrophilic group,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,12.4,hydrophilic group,US20160181616A1-20160623
529,carbon number,technical,Chemistry & materials,Ions & functional groups,2,1,5.011,11.4,carbon number,US20160181616A1-20160623
530,heat exchanger,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,3,31.296,71.1,heat exchanger,US20060105209A1-20060518 US20160226110A1-20160804 US20160141692A1-20160519
531,cooling air,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,2,17.27,32.6,cooling air,US20160211560A1-20160721 US20160211561A1-20160721
532,water management,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,2,12.952,23.0,water management,US20060093735A1-20060504 US20160211535A1-20160721
533,cooling device,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,35.074,69.8,cooling device,US20060078789A1-20060413
534,air intake conduit,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,20.043,59.1,air intake conduit,US20060110634A1-20060525
535,gear pump head,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,25.053,49.9,gear pump head | gear pump heads,US20060134483A1-20060622
536,heat transfer fluid,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,15.032,44.5,heat transfer fluid,US20160211562A1-20160721
537,thermal control device,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,20.043,41.5,thermal control device,US20160211562A1-20160721
538,heat transfer material,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,20.043,40.0,heat transfer material,US20160141735A1-20160519
539,driving gear pump head,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",4,1,10.021,39.9,driving gear pump head,US20060134483A1-20060622
540,driven gear pump head,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",4,1,10.021,39.4,driven gear pump head,US20060134483A1-20060622
541,cooling fan,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,15.032,37.5,cooling fan,US20160226110A1-20160804
542,battery cooling system,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,15.032,33.6,battery cooling system,US20160226110A1-20160804
543,cooling fluid,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,20.043,33.1,cooling fluid,US20060105209A1-20060518
544,air intake hole,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,10.021,30.8,air intake holes | air intake hole,US20160211561A1-20160721
545,cooling plate,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,20.043,29.7,cooling plate,US20160141735A1-20160519
546,battery thermal management system,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",4,1,10.021,29.6,battery thermal management system,US20170214099A1-20170727
547,intake duct,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,10.021,27.4,intake ducts,US20160211560A1-20160721
548,coolant subsystem,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,10.021,27.1,coolant subsystem,US20170214099A1-20170727
549,thermostatic valve,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,10.021,26.2,thermostatic valve,US20060134483A1-20060622
550,control valve,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,10.021,22.8,control valve,US20160226110A1-20160804
551,wick material,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,10.021,21.6,wick material,US20060046123A1-20060302
552,system coolant,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,15.032,21.3,system coolant,US20060134483A1-20060622
553,excess air diversion conduit,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",4,1,5.011,19.4,excess air diversion conduit,US20060110634A1-20060525
554,passive microcoolant loop,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,5.011,18.7,passive microcoolant loop,US20060134483A1-20060622
555,passive coolant microloop,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,5.011,17.4,passive coolant microloop,US20060134483A1-20060622
556,air introducing port,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,5.011,17.0,air introducing port,US20160211561A1-20160721
557,parallel-flow heat exchanger,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,5.011,16.7,parallel-flow heat exchanger,US20160141692A1-20160519
558,passive fluid pump,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,5.011,16.1,passive fluid pump,US20060046123A1-20060302
559,heat transfer material housing,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",4,1,5.011,15.6,heat transfer material housings,US20160141735A1-20160519
560,cold start,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,5.011,15.1,cold start,US20060134483A1-20060622
561,plate-shaped cooling plate,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,5.011,15.0,plate-shaped cooling plate,US20160141735A1-20160519
